論文名稱(中文),畢業學年度,學位類別,作者,博碩士論文網址
保護區政策政治生態學分析——以板新給水廠水質水量保護區為例,113,碩士,黃永憲,https://hdl.handle.net/11296/65nnx7
個案高中自然科教師發展探究與實作課程的經歷與因素：基於教師專業成長互聯模型,113,碩士,王維德,https://hdl.handle.net/11296/jgn2wg
偏鄉國中體育班教練領導風格對其學生運動員的影響,113,碩士,黃靖純,https://hdl.handle.net/11296/an28az
健康促進專業人員核心能力之研究,113,碩士,楊之嫺,https://hdl.handle.net/11296/acnwej
優勢現身：青少年校園霸凌中受凌捍衛者之挺身經驗探究,113,碩士,連雅芝,https://hdl.handle.net/11296/4q3j28
優秀男子110公尺跨欄選手欄間跑速度節奏分析,113,碩士,吳睿峰,https://hdl.handle.net/11296/8rf789
儲欣古文創作及文學批評研究,113,博士,楊雅貴,https://hdl.handle.net/11296/35w4tc
元代士人地方意識的形塑：《延祐四明志》中對〈學校〉和〈人物〉的書寫,113,碩士,連薇,https://hdl.handle.net/11296/2yp6vq
光學共振⽣物感測器的計算和實驗⽅法：從LSPR到SPR - 拉曼積分和無⾦屬有損模式共振,113,博士,"Nurrohman, Devi Taufiq",https://hdl.handle.net/11296/8234n4
兒童文學之隱喻翻譯：以《彼得潘》三個中譯本為例,113,碩士,廖方達,https://hdl.handle.net/11296/de4rvn
內容導向教學於幼兒華語閱讀手作：「我們的家庭」教學教案設計及實施,113,碩士,董溶,https://hdl.handle.net/11296/zbkqjt
全國童軍大露營對國中生人際關係影響之研究,113,碩士,張悦瑜,https://hdl.handle.net/11296/4b9g44
公司組織再造對結構制度、管理行為、員工及績效的影響--以個案A建設公司為例,113,碩士,陳大利,https://hdl.handle.net/11296/4w5d9g
公園景觀異質性與使用者人格類型對注意力恢復之影響──以臺北市河濱公園為例,113,碩士,邵侑德,https://hdl.handle.net/11296/6ed9w5
公立幼兒園教師情緒勞務、生涯召喚與工作滿意度之關係研究─以雙北市為例,113,碩士,沈欣樺,https://hdl.handle.net/11296/75yw4d
具二維 Ag–S 結構的新型金屬有機硫化物應用於染料敏化太陽能電池之電催化觸媒,113,碩士,邱嘉惠,https://hdl.handle.net/11296/y5t6r9
具動態變數分群與繁衍機制的大規模多目標演化演算法,113,碩士,周承霖,https://hdl.handle.net/11296/96e7cd
具環境感知能力的彩色電子紙前光調控,113,碩士,陳灝,https://hdl.handle.net/11296/5emuc9
分析國內大型巡迴演唱會社群媒體貼文型態關鍵要素之行銷成效研究－以Facebook粉絲專頁為例,113,碩士,程淳涵,https://hdl.handle.net/11296/d2h6p4
分析機器學習對化學材料的應用,113,碩士,林仰徹,https://hdl.handle.net/11296/f8ugbx
初探華語量級隱含語言處理過程之影響,113,碩士,林宣妘,https://hdl.handle.net/11296/kv3w38
初探運用ChatGPT建置國中會考數學解題家教,113,碩士,孫裕旻,https://hdl.handle.net/11296/2zs9g9
初探運用ChatGPT生成學測數學模擬試題,113,碩士,陳育賢,https://hdl.handle.net/11296/u6je24
利害關係人壓力、法規壓力對綠色價值共創之影響—以企業環境承諾為中介變項,113,碩士,李文如,https://hdl.handle.net/11296/pc3qa8
利用SWATH-MS技術分析小鼠脾臟中塑膠微粒毒性與乳癌藥物抗藥性之差異蛋白質體學研究,113,碩士,胡銘哲,https://hdl.handle.net/11296/de5c5z
利用一價銠金屬催化劑催化具高鏡像選擇性之不對稱串聯合環反應,113,碩士,江青芸,https://hdl.handle.net/11296/etrwjf
利用偏振解析光譜探討低維度材料中電子-聲子與激子-聲子交互作用機制,113,博士,張瑀真,https://hdl.handle.net/11296/4ht8d5
利用原位生長法製備三元金屬層狀雙氫氧化物於產氧反應並應用於陰離子交換膜裝置之研究,113,碩士,陳宥杰,https://hdl.handle.net/11296/4y2tz4
利用吲哚綁定烯酮與亞胺來合成4-吲哚基喹啉雙雜環化合物：麥克/曼尼希/芳香化排列,113,碩士,邱暐婷,https://hdl.handle.net/11296/xp8s8y
利用單分子追蹤揭示FlhA與FliF的構型動態調控大腸桿菌基底周圍的聚集,113,碩士,洪得發,https://hdl.handle.net/11296/m86tc6
利用多波段觀測分析SR 12 c環亞恆星盤的物理性質,113,碩士,陳寧,https://hdl.handle.net/11296/qdc6z5
利用大型語言模型於改善情境化語音辨識,113,碩士,盧泇良,https://hdl.handle.net/11296/n2wx9q
利用常壓微電漿於單滴有機液體合成無氧石墨烯量子點之綠色化學方法,113,碩士,周凡恩,https://hdl.handle.net/11296/9z32sy
利用無監督領域自適應實現穩健語音辨識與增強之研究,113,碩士,王建鈞,https://hdl.handle.net/11296/9445p5
利用甲醇/水對末端炔進行碘化取代及加成反應,113,碩士,李安鈞,https://hdl.handle.net/11296/639mqw
副玫瑰苯胺類似物對鹵化銻鈣鈦礦電催化觸媒之鈍化效應,113,碩士,柯靖渝,https://hdl.handle.net/11296/q3k774
創業教育對印尼企業家商業成長的影響，並以政府支持作為調節變數,113,碩士,林梅琴,https://hdl.handle.net/11296/qgk7ax
創造工作室與爪爪風格：土城美甲師的微型空間實踐,113,碩士,廖彥琳,https://hdl.handle.net/11296/5r5v4q
創造思考技法融入商品設計思考課程對國小高年級學童在創造力與問題解決能力之影響,113,碩士,鄭泳權,https://hdl.handle.net/11296/ehd685
動作訓練與運動傷害預防的虛擬實境介面設計,113,碩士,陳婷婷,https://hdl.handle.net/11296/v94uu5
動態海報之視覺元素創作研究–以臺灣燈會為例,113,碩士,潘敬瑄,https://hdl.handle.net/11296/cbsghy
動態識別應用於臺北設計獎之創作研究,113,碩士,謝家瑄,https://hdl.handle.net/11296/xva45g
募資線上學習平台之關鍵成功因素,113,碩士,邱奕程,https://hdl.handle.net/11296/y82d5x
包浩斯下的極簡主義風格運用於包裝設計創作研究,113,碩士,王曉雅,https://hdl.handle.net/11296/cb37s5
北臺灣大屯火山群七星山岩漿庫行為之研究,113,碩士,賴旭泯,https://hdl.handle.net/11296/w3sw5j
十七世紀前後朝鮮儒者的創傷敘事——以丙子胡亂為例,113,碩士,張慈恩,https://hdl.handle.net/11296/k38jm3
十九世紀中葉至今澳門半島街道命名分析,113,碩士,王安,https://hdl.handle.net/11296/q9qyfv
南宋御前諸軍研究─以屯戍為中心之考察,113,博士,羅晏松,https://hdl.handle.net/11296/f2265h
南瞻部洲樂園的都市風景:風景畫創作理論研究,113,博士,邱建銘,https://hdl.handle.net/11296/a4dsv4
南芳苑生態旅遊與體驗經濟研究：以海牛遊程、海空步道為例,113,碩士,蔡宗成,https://hdl.handle.net/11296/bnrzng
印尼東爪哇巴契丹地區中新世中期火山岩的年代與地球化學特徵,113,博士,Lintjewas Lediyantje,https://hdl.handle.net/11296/2j9wp9
即時的虛實整合車聯網實驗平台,113,碩士,江子瀚,https://hdl.handle.net/11296/vfyw3y
原住民族議題融入國小綜合領域課程方案發展與實踐歷程探究——以都會區國小為例,113,碩士,林亮言,https://hdl.handle.net/11296/cw5e4n
參與童軍團活動對國中學生人際關係影響之研究,113,碩士,黃種能,https://hdl.handle.net/11296/fk83x5
受傷運動員心理堅韌性、正念傾向對復健遵從行為之預測,113,碩士,黃新傑,https://hdl.handle.net/11296/udj4yw
古諾《十架七言》音樂分析與詮釋,113,碩士,鄭丞哲,https://hdl.handle.net/11296/s6vyh6
可否認式全同態加密,113,碩士,羅緯琦,https://hdl.handle.net/11296/bpgjh9
可見光視線追蹤器之眼角定位硬體架構,113,碩士,黃秋貴,https://hdl.handle.net/11296/46skqg
台中市某精神復健機構中工作訓練階層配置與分級變動之相關因素探討,113,碩士,林珮瑩,https://hdl.handle.net/11296/ed5fu8
台灣中低海拔森林療癒環境選址準則建立與實證研究,113,博士,朱懿千,https://hdl.handle.net/11296/z2b3nu
台灣公路景觀空間生產：台9線光復至富里路段,113,碩士,陶琪然,https://hdl.handle.net/11296/wjw5h4
台灣前後兩個政權推行「國語」運動之比較,113,碩士,徐郁荃,https://hdl.handle.net/11296/x29gjc
台灣每日經濟政策不確定性：指標建構與實證,113,碩士,廖宜樑,https://hdl.handle.net/11296/f6mm8h
台灣綠蠵龜於覓食棲地之族群生態學及保育,113,博士,馮加伶,https://hdl.handle.net/11296/49bpk4
台灣職棒賽事導入啦啦隊文化傳播研究,113,碩士,林律涵,https://hdl.handle.net/11296/j8gj78
台灣護理人員在美國及澳洲工作適應歷程探討,113,碩士,陳曦,https://hdl.handle.net/11296/3sgm2q
台灣迷因文化的幽默與冒犯：解碼社群媒體吸睛關鍵,113,碩士,洪綺臨,https://hdl.handle.net/11296/ne34e7
合作寫作與獨立寫作對英語為外語學習者議論文個人寫作表現之影響,113,碩士,許佳綾,https://hdl.handle.net/11296/3exk6g
同時執行阻力運動與認知訓練後對工作記憶之影響,113,碩士,游展豪,https://hdl.handle.net/11296/2z5dux
吳翌瑩單簧管學位音樂會曲目解說,113,碩士,吳翌瑩,https://hdl.handle.net/11296/c3mxyn
品牌身分認同對品牌公民行為之影響：探討工作活力中介效果與導師功能調節效果,113,碩士,江千茹,https://hdl.handle.net/11296/m7ghhc
員工協助方案對工作努力的影響：探討中介與調節機制,113,碩士,馮景筠,https://hdl.handle.net/11296/gs9yjb
員工知覺主管支持對工程師職能之影響—以訓練成效為中介變項,113,碩士,林坤慧,https://hdl.handle.net/11296/z28pdf
唐宋時期越窯系瓷盒研究——以器型、紋飾為主,113,碩士,許雯鈞,https://hdl.handle.net/11296/8463xw
單位伽瑪混合迴歸模型估計,113,碩士,游典融,https://hdl.handle.net/11296/3kwz2j
單次進食與運動順序對餐後代謝之影響,113,碩士,王俞涵,https://hdl.handle.net/11296/x58jqx
單親女性之債務處理司法程序的經驗分析,113,碩士,鍾咏菁,https://hdl.handle.net/11296/j5uh79
四旋翼無人機結合視覺辨識障礙物與自主路徑導航,113,碩士,柯紀為,https://hdl.handle.net/11296/557a87
國中八年級學生在分類思考素養中的數學創造力表現-以金額分類任務為例,113,博士,吳嵐婷,https://hdl.handle.net/11296/sm78xm
國中教師工作壓力與心理幸福感之關係：以品味策略為中介變項,113,碩士,馬悅華,https://hdl.handle.net/11296/ydsg8h
國中游泳課程實施5E探究式教學之行動研究,113,碩士,宋柏賢,https://hdl.handle.net/11296/h7et2n
國中生STEM跨領域問題解決能力評量工具之發展與應用研究,113,博士,謝雨蓁,https://hdl.handle.net/11296/nf6ep8
國中生使用結合翻轉學習和生成式AI實作之文生圖提示語準確度遊戲式學習的成效,113,碩士,黃詩樺,https://hdl.handle.net/11296/4q9vv5
國中階段階級議題教學之行動研究──以文化回應觀點出發,113,碩士,陳詩璇,https://hdl.handle.net/11296/4wk8j9
國中體育課實施理解式球類教學法之行動研究,113,碩士,顏益聖,https://hdl.handle.net/11296/5s2vxk
國小一年級學童營養教育介入研究,113,碩士,鄭伊洳,https://hdl.handle.net/11296/59qgj8
國小資優教育教師問題本位學習教學實踐之探究,113,碩士,陳昱潔,https://hdl.handle.net/11296/4kgpz9
國小資優生知覺教師區分性教學及學習滿意度之研究－資優班歸屬感之中介效果,113,碩士,林思瑜,https://hdl.handle.net/11296/5r5ay5
國小高年級學生身體活動量與體適能對幸福感之預測,113,碩士,陳媚姿,https://hdl.handle.net/11296/7eqbff
國會助理人格特質、工作壓力與離職傾向關係之研究,113,碩士,陳靜怡,https://hdl.handle.net/11296/8jsr37
國民中學藝術領域教科書多元文化音樂教材內容分析,113,碩士,陳信慈,https://hdl.handle.net/11296/2g9xsd
國民中學藝術領域教科書歌曲教材內容分析,113,碩士,劉婉柔,https://hdl.handle.net/11296/gk544y
國民小學族群多元文化教育實踐：以新住民反歧視課程方案為例,113,碩士,羅婕菱,https://hdl.handle.net/11296/gv264e
國民小學校長文化領導之個案研究,113,博士,施裕明,https://hdl.handle.net/11296/78bzng
國民革命脈絡外的臺灣抗日英雄羅福星,113,碩士,葉健昇,https://hdl.handle.net/11296/gw7qah
國際網球賽觀眾現場氣氛及體驗價值對再購意願之研究,113,碩士,陳惠蓁,https://hdl.handle.net/11296/n92ysx
圖書資訊學教育研究文獻之資訊計量與視覺化分析,113,碩士,陳育屏,https://hdl.handle.net/11296/42yxp4
在中學課程設計中實施同儕對話和遊戲學習以加密貨幣和反詐騙作為課題,113,碩士,黎耀天,https://hdl.handle.net/11296/d39q3z
在印尼購買電動車（EV）時，實用價值、享樂價值與社會價值所扮演的角色,113,碩士,容靜寧,https://hdl.handle.net/11296/u2w82p
在地與全球情境融入華語教學設計：以《當代中文課程》第一冊為例,113,碩士,崔含雨,https://hdl.handle.net/11296/96msp5
在產品稀缺情境下，參考團體與產品領域的身份相關性在獨特性需求對消費者產品態度影響中的調節角色,113,碩士,舒閔,https://hdl.handle.net/11296/htx4vd
在馬可夫鏈SIR模型中的最終規模分布：計算和新型冠狀病毒肺炎疫情的應用,113,碩士,許紘嘉,https://hdl.handle.net/11296/vvvj93
地方創生商業模式－以彰化縣港灣溜魚文化工作室為例,113,碩士,郭珮蓉,https://hdl.handle.net/11296/ccd66n
基於 F2SA-YOLOv8在小黃瓜之偵測定位及採收,113,碩士,黃志洪,https://hdl.handle.net/11296/xa357d
基於 Planck 與 DESI 數據對動態暗能量模型的觀測約束,113,碩士,陳孝宣,https://hdl.handle.net/11296/47jn7t
基於「再」與「又」重複義的學習圖示設計初探,113,碩士,游子平,https://hdl.handle.net/11296/dcwhsm
基於CNN之輕量化GAN圖像修復網路設計,113,碩士,許書晨,https://hdl.handle.net/11296/z4jccw
基於In2O3/Borophene複合材料之可撓性二氧化氮感測器的研製,113,碩士,劉奕賢,https://hdl.handle.net/11296/22qjeu
基於RBFN模糊滑模自適應控制之髖膝外骨骼機器人在偏癱復健應用,113,碩士,翁晟祖,https://hdl.handle.net/11296/wv42zf
基於TPU/ILs/Li2CO3微結構陣列離子凝膠之可穿戴且高靈敏的壓力感測器研製,113,碩士,張智耀,https://hdl.handle.net/11296/rtj6p6
基於Transformer多軌跡融合之羽球擊球球種辨識模型,113,碩士,謝博政,https://hdl.handle.net/11296/t66hsg
基於Transformer的化合物-蛋白質交互作用預測方法之改進,113,碩士,陳威宇,https://hdl.handle.net/11296/24bckr
基於人臉辨識技術人物照構圖分析之研究- 以《VOGUE》雜誌封面照為例,113,碩士,陳仕杰,https://hdl.handle.net/11296/5p3xeg
基於優化全細胞感測器與酵素催化比色反應之酪胺檢測研究,113,碩士,劉曉潔,https://hdl.handle.net/11296/3qpwaf
基於全同態加密的可驗證外包計算研究,113,碩士,陳柏諺,https://hdl.handle.net/11296/94s98u
基於同態加密與SchNet的隱私保護分子模擬研究,113,碩士,張祐瑜,https://hdl.handle.net/11296/fqzh3v
基於單目視覺之社會群體交互與視角自適應的行人軌跡預測模型,113,碩士,章莉揚,https://hdl.handle.net/11296/6e58f7
基於多動作辨識與手臂模仿學習之全向移動互動型機器人設計,113,碩士,許哲瑋,https://hdl.handle.net/11296/74jmm8
基於多攝影機健身房多人追蹤分析,113,碩士,邱俊揚,https://hdl.handle.net/11296/67qayd
基於多視角相片產生之3D點雲樹木重建,113,碩士,陳建壹,https://hdl.handle.net/11296/j24w8r
基於大型語言模型之協作機器人任務規劃,113,碩士,李紳睿,https://hdl.handle.net/11296/d6mr43
基於大型語言模型的教學影片中文語音轉文字精準度提升方法之研究,113,碩士,楊之昌,https://hdl.handle.net/11296/43cqq5
基於小型語言模型之腦電圖雜訊分類系統之開發,113,碩士,陳柏瑄,https://hdl.handle.net/11296/5s9u23
基於巨觀邊緣感知與對比圖分析的高動態範圍成像,113,碩士,鄭翔元,https://hdl.handle.net/11296/6t7hen
基於強化學習之空氣感測器維護路徑研究,113,碩士,陳昱安,https://hdl.handle.net/11296/4993t5
基於強化學習結合KAN網路和注意力機制的創新混合架構應用於多機器人避障系統,113,碩士,姜嵐新,https://hdl.handle.net/11296/47qc5q
基於成交量同步之知情交易機率在不同公司特徵下對市場深度之影響,113,碩士,谷承歡,https://hdl.handle.net/11296/pfadj7
基於擴散模型之條件式樹形點雲生成,113,碩士,李世祥,https://hdl.handle.net/11296/gy5rmn
基於檢索增強分類之網路注入攻擊偵測—以跨站腳本攻擊為例,113,碩士,林子堯,https://hdl.handle.net/11296/ghhyvt
基於混合擴張卷積及卷積注意力模組的即時車道線偵測深度學習網路,113,碩士,林琮祐,https://hdl.handle.net/11296/mf6yz3
基於無線通訊暨感測器之行動裝置攝影省電研究,113,碩士,葉桓郡,https://hdl.handle.net/11296/7cxac5
基於硬體資源優化的廣義迴歸神經網路FPGA設計-以QoS應用為例,113,碩士,林宇恩,https://hdl.handle.net/11296/3mct88
基於粒子群演算法之控制參數最佳化應用於交換式電源供應器,113,碩士,林昱穎,https://hdl.handle.net/11296/3953xx
基於色調映射與模型可解釋性技術的人臉偵測優化,113,碩士,李少榆,https://hdl.handle.net/11296/35rzec
基於表面鈍化與添加劑工程之二維鈣鈦礦發光二極體,113,博士,羅珮瑄,https://hdl.handle.net/11296/mcwb4a
基於超聲波的手部動作辨識模型研究,113,碩士,張仲軒,https://hdl.handle.net/11296/gtz624
基於輕量化深度學習模型的肺部疾病X光影像分類研究運用在邊緣設備上的即時部署,113,碩士,潘盈臻,https://hdl.handle.net/11296/5pd2r7
基於階層式空間光譜緊密關聯性Transformer之高光譜與多光譜影像融合,113,碩士,何祐豪,https://hdl.handle.net/11296/65j344
增強式、彈震式及混合熱身對衝刺生物力學及表現的急性影響,113,碩士,莊唯暄,https://hdl.handle.net/11296/dg8t5k
"壹、區域選擇性溶劑切換合成環氧異吲哚[1, 2-a]異喹啉酮、羥基螺[環戊烷-1, 1&apos;-異吲哚啉]-3-烯-3&apos;, 5-二酮和四氫吡啶[2, 1-a]異吲哚酮衍生物貳、在甲醇溶液中利用碘分子介導進行分子內1,3-偶極環加成反應合成色烯-異噁唑衍生物",113,碩士,韓欣倫,https://hdl.handle.net/11296/nwe8k4
多重視角下誤解式論點對產品態度影響之探討,113,碩士,蔡雨潔,https://hdl.handle.net/11296/f9rtk9
大學時期參與社團之畢業校友校園經驗與學校認同研究—以中部某國立大學為例,113,碩士,楊婷婷,https://hdl.handle.net/11296/v455qt
大學校院學生會不同組織類型之運作分析,113,碩士,陳律文,https://hdl.handle.net/11296/x96nq5
大學生完美主義、自我慈悲與心理健康之關係探究,113,碩士,陳安慈,https://hdl.handle.net/11296/qtkwdf
大學生社會支持、希望感與冒牌者現象之關係,113,碩士,郭信良,https://hdl.handle.net/11296/nn3q46
大學體育科系學生人格特質與校園經驗及生涯發展之相關研究,113,碩士,陳禹晴,https://hdl.handle.net/11296/8j2334
大專七人制橄欖球運動員等長大腿中段拉力量表現與爆發力、速度及敏捷性的關係,113,碩士,吳承洋,https://hdl.handle.net/11296/un733n
大專排球選手知覺教練賦權與削權動機氣候對害怕失敗的預測--以心理安全為中介,113,碩士,林其蓉,https://hdl.handle.net/11296/r6y9h4
大專校院學生人工智慧素養指標建構之分析研究,113,博士,陳美宏,https://hdl.handle.net/11296/43ybj7
大屯火山群火山噴氣孔噴泥事件初探,113,碩士,陳昇平,https://hdl.handle.net/11296/e4588k
大阿里山地區咖啡農因應氣候變遷之調適行為意圖研究,113,碩士,李語濡,https://hdl.handle.net/11296/3dajvt
太陽能儲電系統的應用研究,113,碩士,曾驛傑,https://hdl.handle.net/11296/mt7zjw
太陽能微電網電力調度技術研究,113,碩士,黃琳傳,https://hdl.handle.net/11296/22ct4v
女性向戀愛型手遊情境中沉浸經驗、角色設定與故事情節對使用者情感反應與愉悅感的影響,113,碩士,高慧宇,https://hdl.handle.net/11296/y4y5ey
季內振盪對臺灣梅雨鋒面的影響,113,碩士,莊愷恩,https://hdl.handle.net/11296/eghud2
學前家長教養手冊-阿德勒正向教養觀點,113,碩士,陳玫秀,https://hdl.handle.net/11296/a496uu
安靜藏私-知識隱藏的行為與原因之探索性研究,113,碩士,温致萱,https://hdl.handle.net/11296/473dv2
宋到元時期瓷器魚紋裝飾研究,113,碩士,奚望,https://hdl.handle.net/11296/f6ut8n
宜蘭地熱區裂隙活化趨勢分析初探以芃芃溪、排谷溪及土場-仁澤為例,113,碩士,王婷慧,https://hdl.handle.net/11296/jmfmp2
客家箏曲《出水蓮》與王瑞《雨蓮花開》之樂曲分析與演奏詮釋,113,碩士,丁楹,https://hdl.handle.net/11296/7774yq
客戶信任、互動與專業價值：探討高端客製化旅遊產品的關鍵成功因素,113,碩士,黃凌音,https://hdl.handle.net/11296/wm2dhd
家長對唐氏症者教養與就業準備之經驗,113,碩士,陳芃羽,https://hdl.handle.net/11296/268sc3
實用主義教育哲學體系與應用,113,博士,葉若潔,https://hdl.handle.net/11296/bahz7j
射擊運動賽制改變對選手成績之影響_ 以2004至2024奧運會空氣槍選手為例,113,碩士,周俊男,https://hdl.handle.net/11296/s4jr5b
對二維易辛模型非平衡相變的綜合研究,113,碩士,李尚瑋,https://hdl.handle.net/11296/hxs984
導遊華語口語教材開發研究-以沙烏地阿拉伯王國觀光部為例,113,博士,黃麗玲,https://hdl.handle.net/11296/dx58xq
小根蒜萃取物對代謝相關性脂肪肝的影響,113,碩士,洪詩晏,https://hdl.handle.net/11296/56nw3v
小鼠大腦中脂質體學分析的液相層析條件研究,113,碩士,陳諺霆,https://hdl.handle.net/11296/6xc47y
島嶼／語對話：李琴峰小說中的性別與國族,113,碩士,張育甄,https://hdl.handle.net/11296/eqsd63
工作樂趣對員工敬業的影響–員工脈絡績效之調節效果,113,碩士,林婉怡,https://hdl.handle.net/11296/n5fqtr
工作鑲嵌、職涯滿意度與留任承諾關聯性之研究,113,碩士,廖苑竹,https://hdl.handle.net/11296/ypev7a
工業4.0之研究主題與發展趨勢,113,碩士,何采璇,https://hdl.handle.net/11296/deksc8
市場結構對銀行兼營電子支付業務獲利能力之影響,113,碩士,游子諄,https://hdl.handle.net/11296/2crtgk
年輕販毒者之生命經驗及其對應教材研究,113,碩士,王文惠,https://hdl.handle.net/11296/xaz2mc
幻想避世所：黃韋嘉創作論述與實踐,113,碩士,黃韋嘉,https://hdl.handle.net/11296/9kdnzu
幼兒園實施幽默繪本教學對幼兒創造力之影響,113,碩士,陳昭樺,https://hdl.handle.net/11296/sxg473
幼兒教師教學美感經驗之研究,113,博士,林淑萍,https://hdl.handle.net/11296/6kf24p
幼兒數概念之發展與家庭學習環境的長期影響,113,博士,楊長杰,https://hdl.handle.net/11296/ea2eq5
幼兒氣質類型的發展與轉變──兼論親職教養與性別影響：KIT的實徵研究,113,博士,王詩婷,https://hdl.handle.net/11296/h668pf
幼兒雙語音樂教學之行動研究,113,碩士,陳薇媜,https://hdl.handle.net/11296/vp694c
建構式玩具於學生空間能力之啟發應用及創作,113,碩士,黃品晴,https://hdl.handle.net/11296/99za5k
建立高齡友善大學評鑑指標之研究—以CVIPP模式為例,113,碩士,鄭宇軒,https://hdl.handle.net/11296/97tjz6
引進外籍英語教師計畫之措施及成效探討：以臺北市為例,113,碩士,徐曼榕,https://hdl.handle.net/11296/9a682p
彩色電子紙的高效前光選擇法,113,碩士,黃鈺珊,https://hdl.handle.net/11296/j25s4q
後疫情時代台灣人赴日旅遊動機與消費行為之探討,113,碩士,游立揚,https://hdl.handle.net/11296/xcft3t
從 C 到 Go：重構現有地震預警系統之研究,113,碩士,蔣毓庭,https://hdl.handle.net/11296/6mmse7
從共備學科探討馬來西亞華文獨立中學的教師專業發展研究,113,碩士,張嘉俊,https://hdl.handle.net/11296/a772ww
從員工及主管角度探討績效回饋實務,113,碩士,劉思沅,https://hdl.handle.net/11296/hh8qqv
從對話分析看角色塑造：美國影集《無恥之徒》字幕翻譯,113,碩士,石謙,https://hdl.handle.net/11296/de456b
從性產業發展趨勢探討臺北市性專區劃設的空間意涵,113,碩士,沈啟仁,https://hdl.handle.net/11296/ryzv34
從生態取徑探討教師在課程與教學革新中的能動性,113,博士,林曦平,https://hdl.handle.net/11296/42cvjh
從童話文本到真人電影:分析迪士尼電影改編中人物角色轉向與社會文化意涵,113,碩士,林芊佑,https://hdl.handle.net/11296/3w327g
從線上使用者體驗角度探勘不同管道之消費群組購物行為,113,博士,喻欣凱,https://hdl.handle.net/11296/sypjc5
從門派到學派：臺灣楊家老架太極拳的嬗變史,113,博士,蘇清標,https://hdl.handle.net/11296/2fdh63
德國雷鬼音樂節之跨文化分析：以科隆Summerjam為例,113,碩士,許敦翔,https://hdl.handle.net/11296/b8ykw6
德布西《前奏曲第二冊》研究,113,碩士,林東毅,https://hdl.handle.net/11296/n7dx75
急性認知要求運動對國小學童抑制控制之影響,113,碩士,林采霓,https://hdl.handle.net/11296/7axxpk
性別視角與平等研究—當代台灣外籍女性的社會經驗,113,碩士,米雅,https://hdl.handle.net/11296/q37zpn
恐懼與貪婪指數能解釋 COVID-19 疫情期間台灣股市的走勢嗎？,113,碩士,黃兆渝,https://hdl.handle.net/11296/v6wx66
情感設計運用於母親節花禮創作之研究,113,碩士,呂正儀,https://hdl.handle.net/11296/cbdpxd
惡意內容文本自動分類之研究,113,碩士,楊雪子,https://hdl.handle.net/11296/zjdasw
應對口譯焦慮：研究所教師做法與學生期待之對比分析,113,碩士,李彥勳,https://hdl.handle.net/11296/gduq37
應用 Q 研究法於探討中央輔導委員對輔導健康促進學校經驗的看法,113,博士,姜智惠,https://hdl.handle.net/11296/68gwhb
應用SWAT+模擬高屏溪及曾文水庫流域之水文收支,113,碩士,嚴景俐,https://hdl.handle.net/11296/526aky
應用優勢約略集合法與形式概念分析提昇物聯網裝置之資安測試效率,113,碩士,林志遠,https://hdl.handle.net/11296/t79sn6
應用參與式地理資訊系統探討爭議性海洋社會價值：以彰化離岸風力發電區為例,113,碩士,許慕淇,https://hdl.handle.net/11296/fsha9x
應用基因演算法於固定式太陽能儲能系統之最佳化電價成本控制器設計,113,碩士,賓承彥,https://hdl.handle.net/11296/2pusch
應用於5G FR2與Wi-Fi 7之功率放大器設計,113,碩士,黃郁軒,https://hdl.handle.net/11296/vnsm35
應用於公有區塊鏈之具監督與挑戰機制的可驗證更新模型設計與效能分析,113,碩士,張芸慈,https://hdl.handle.net/11296/m328sk
應用於冷鏈物流之複合動力系統模擬平台開發,113,碩士,謝念恒,https://hdl.handle.net/11296/jszrzp
應用於衛星通訊與Wi-Fi 7之壓控振盪器設計,113,碩士,郭彥霆,https://hdl.handle.net/11296/9vfzh3
應用於負電壓與高頻電路之靜電放電防護設計,113,碩士,鄭皓恩,https://hdl.handle.net/11296/hf3znh
應用最優質量傳輸、深度學習分割與影像組學於腦腫瘤 CDKN2A/B 純合缺失分類,113,碩士,林鋐洋,https://hdl.handle.net/11296/a9562h
應用機器學習預報臺灣北部夏季午後對流之研究,113,碩士,黃品豪,https://hdl.handle.net/11296/77sabq
應用自組織映射神經網路於環境品質模型之建構：以都市熱島因子資料為例,113,碩士,劉宗妮,https://hdl.handle.net/11296/8wx52a
應用變革準備度探討普通高級中學設立人文社會類實驗班發展及轉型之研究,113,碩士,蔡鳳賢,https://hdl.handle.net/11296/6j9f66
應用雷射誘導多酵素仿生材料於雙極式電化學感測裝置,113,碩士,黃漢庭,https://hdl.handle.net/11296/j8x6z4
成人毒品使用者的影響因子與使用安非他命之研究,113,碩士,王宥文,https://hdl.handle.net/11296/brynyj
我國高等教育學生事務人員專業倫理守則之建構,113,碩士,黃瑋翔,https://hdl.handle.net/11296/4qznby
戒嚴後期學院派文學雜誌分析—以《中外文學》為例,113,碩士,陳郁鄢,https://hdl.handle.net/11296/5e38rr
戰後殖民時期香港的居住政策及其影響,113,碩士,葉逸浩,https://hdl.handle.net/11296/b26c62
戲劇教育融入高中啦啦舞競賽提升自信心之行動研究,113,碩士,廖藝珊,https://hdl.handle.net/11296/7y6ka4
房市情緒與總體經濟變數對臺灣房價的影響,113,碩士,吳佳倫,https://hdl.handle.net/11296/n526hc
扭蛋玩具對使用者療癒與紓壓感受之研究,113,碩士,劉羽涵,https://hdl.handle.net/11296/9wmu65
